"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""MAIO E JUNHO"",""Ano"":""2016"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""30\/06\/2016"",""Etiqueta"":""2122863""}","2016-06-30",2122863,84432,"10A080920"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""MARCO E ABRIL"",""Ano"":""2016"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""30\/04\/2016"",""Etiqueta"":""2122862""}","2016-04-30",2122862,84431,"10A080921"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""JANEIRO E FEVEREIRO"",""Ano"":""2016"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""29\/02\/2016"",""Etiqueta"":""2122861""}","2016-02-29",2122861,84430,"10A080922"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""NOVEMBRO E DEZEMBRO"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""31\/12\/2015"",""Etiqueta"":""2122860""}","2015-12-31",2122860,84429,"10A080923"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""SETEMBRO E OUTUBRO"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""31\/10\/2015"",""Etiqueta"":""2122859""}","2015-10-31",2122859,84428,"10A080924"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""JULHO E AGOSTO"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""31\/08\/2015"",""Etiqueta"":""2122858""}","2015-08-31",2122858,84427,"10A081001"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""MAIO E JUNHO"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""30\/06\/2015"",""Etiqueta"":""2122857""}","2015-06-30",2122857,84426,"10A081002"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""MARCO ABRIL"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""30\/04\/2015"",""Etiqueta"":""2122856""}","2015-04-30",2122856,84425,"10A081003"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""JANEIRO E FEVEREIRO"",""Ano"":""2015"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""29\/02\/2015"",""Etiqueta"":""2122855""}","2015-03-01",2122855,84424,"10A081004"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""NOVEMBRO E DEZEMBRO"",""Ano"":""2014"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""31\/12\/2014"",""Etiqueta"":""2122854""}","2014-12-31",2122854,84423,"10A081005"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""SETEMBRO E OUTUBRO"",""Ano"":""2012"",""Setor"":""CONTABILIDADE"",""Assunto"":""MOVIMENTO"",""Data do Documento"":""31\/10\/2012"",""Etiqueta"":""2122853""}","2012-10-31",2122853,84422,"10A081006"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""JULHO A SETEMBRO"",""Ano"":""2012"",""Setor"":""CONTABILIDADE"",""Assunto"":""EXTRATOS BANCARIOS - RECIBOS - ADIANTAMENTO DE DESPESAS - DUPLICATAS NOTA FISCAL - PAGAMENTO DE AUTONOMO - NOTA FISCAL DE ENTRADA"",""Data do Documento"":""30\/09\/2012"",""Etiqueta"":""2122852""}","2012-09-30",2122852,84421,"10A081007"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""OUTUBRO A DEZEMBRO"",""Ano"":""2012"",""Setor"":""CONTABILIDADE"",""Assunto"":""DUPLICATAS NOTAS FISCAIS - RECIBOS - PROTOCOLOS - EXTRATOS BANCARIOS"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2122851""}","2012-12-31",2122851,84420,"10A081008"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""MARCO E ABRIL"",""Ano"":""2012"",""Setor"":""CONTABILIDADE"",""Assunto"":""DUPLICATAS - NOTA FISCAL DE ENTRADA - NOTA FISCAL DE SERVICOS TOMADOS - EXTRATOS BANCARIOS - NOTA FISCAL DE SERVICO - ADIANTAMENTO E DESPESAS DE VIAGEM - RELATORIOS DESPESAS DE VIAGEM - DESPESAS COM VIAGEM"",""Data do Documento"":""30\/04\/2012"",""Etiqueta"":""2122850""}","2012-04-30",2122850,84419,"10A081009"
Betta Tecnologia,BETTA TECNOLOGIA,Documentos Betta Tecnologia,"{""Periodo"":""OUTUBRO A DEZEMBRO"",""Ano"":""2012"",""Setor"":""CONTABILIDADE"",""Assunto"":""NOTA FISCAL DE ENTRADA - NOTA FISCAL DE SERVICOS SOFTWARE - NOTA FISCAL DE SERVICOS TOMADOS - PAGAMENTO DE AUTONOMO - COMPROVANTE DESPESAS VIAGEM"",""Data do Documento"":""31\/12\/2012"",""Etiqueta"":""2122849""}","2012-12-31",2122849,84418,"10A081010"
Betta Tecnologia,RECURSOS HUMANOS,Cartão de Ponto,"{""Periodo"":""JANEIRO"",""Ano"":""2018"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""31\/01\/2018"",""Etiqueta"":""2286593""}","2018-01-31",2286593,84623,"10A090420"
Betta Tecnologia,RECURSOS HUMANOS,Cartão de Ponto,"{""Periodo"":""FEVEREIRO"",""Ano"":""2018"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""28\/02\/2018"",""Etiqueta"":""2286594""}","2018-02-28",2286594,84623,"10A090420"
