"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2015"",""Per\u00edodo"":""JANEIRO A DEZEMBRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE - DIVERSOS"",""Endere\u00e7o"":""016.012.04"",""Caixa"":""27426"",""Data do Documento"":""31\/12\/2015"",""Etiqueta"":""2235071""}","2015-12-31",2235071,82104,"10A161016"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""SETEMBRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""017.014.01"",""Caixa"":""29451"",""Data do Documento"":""30\/09\/2016"",""Etiqueta"":""2235079""}","2016-09-30",2235079,82104,"10A161016"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""ABRIL A JUNHO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""006.012.04"",""Caixa"":""28925"",""Data do Documento"":""30\/06\/2016"",""Etiqueta"":""2235078""}","2016-06-30",2235078,82105,"10A161017"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""NOVEMBRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""017.008.05"",""Caixa"":""5942"",""Data do Documento"":""30\/11\/2016"",""Etiqueta"":""2235076""}","2016-11-30",2235076,82105,"10A161017"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""ABRIL A JUNHO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""006.012.04"",""Caixa"":""28925"",""Data do Documento"":""30\/06\/2016"",""Etiqueta"":""2235077""}","2016-06-30",2235077,82106,"10A161018"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""MARCO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""001.033.04"",""Caixa"":""28620"",""Data do Documento"":""31\/03\/2016"",""Etiqueta"":""2235074""}","2016-03-31",2235074,82107,"10A161019"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2016"",""Per\u00edodo"":""DEZEMBRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""010.034.05"",""Caixa"":""9013"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2235075""}","2016-12-31",2235075,82107,"10A161019"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2017"",""Per\u00edodo"":""JANEIRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""009.003.03"",""Caixa"":""7679"",""Data do Documento"":""31\/01\/2017"",""Etiqueta"":""2235080""}","2017-01-31",2235080,82107,"10A161019"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2017"",""Per\u00edodo"":""FEVEREIRO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""009.030.02"",""Caixa"":""7678"",""Data do Documento"":""28\/02\/2017"",""Etiqueta"":""2235081""}","2017-02-28",2235081,82108,"10A161020"
EPOCA COSMETICOS,CONTABILIDADE,DOCUMENTOS CONTABEIS,"{""Data Fim"":""2017"",""Per\u00edodo"":""MARCO"",""Assunto"":""EPOCA COSMETICOS - CONTABILIDADE"",""Endere\u00e7o"":""009.018.03"",""Caixa"":""7680"",""Data do Documento"":""31\/03\/2017"",""Etiqueta"":""2235082""}","2017-03-31",2235082,82108,"10A161020"
