"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANTONIO CARLOS DE OLIVEIRA ALMEIDA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443561""}","2023-12-05",2443561,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANTONIO FERNANDO DE LIMA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443562""}","2023-12-05",2443562,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANTONIO FRANCISCO DA SILVA FILHO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443563""}","2023-12-05",2443563,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIS PEREIRA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443564""}","2023-12-05",2443564,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRESSA DE JESUS SANTOS"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443565""}","2023-12-05",2443565,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ RODRIGUES DE SOUZA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443566""}","2023-12-05",2443566,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRESSA MARTINS DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443567""}","2023-12-05",2443567,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRESSA MAXIMIANO DE SOUZA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443568""}","2023-12-05",2443568,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDEMIR ANTUNES DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443569""}","2023-12-05",2443569,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANTONIO ANDERSON DO CARMO OLIVEIRA JUNIOR"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443570""}","2023-12-05",2443570,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANTONIO CARLOS BASTOS BEZERRA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443571""}","2023-12-05",2443571,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRESSA APARECIDA ROCHA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443572""}","2023-12-05",2443572,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRIEL LOTERIO FERNANDES"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443573""}","2023-12-05",2443573,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRIELA PRESTES DE MACEDA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443574""}","2023-12-05",2443574,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE TEIXEIRA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443575""}","2023-12-05",2443575,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE RODRIGO DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443576""}","2023-12-05",2443576,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE MACHADO FREITAS"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443577""}","2023-12-05",2443577,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ SILVA MELO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443578""}","2023-12-05",2443578,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIS DE SOUZA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443579""}","2023-12-05",2443579,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUCAS SOARES"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443580""}","2023-12-05",2443580,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIS LIDEME BORDIN"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443581""}","2023-12-05",2443581,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443582""}","2023-12-05",2443582,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ DE JESUS CORNELIO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443583""}","2023-12-05",2443583,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ DE LIMA BARROS"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443584""}","2023-12-05",2443584,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ DO PRADO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443585""}","2023-12-05",2443585,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ MARTINS DE TOLEDO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443586""}","2023-12-05",2443586,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ MAXIMO RIBEIRO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443587""}","2023-12-05",2443587,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIZ ROCHA DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443588""}","2023-12-05",2443588,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDREIA DA SILVA CORREIA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443589""}","2023-12-05",2443589,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIS BONATO BALSANELLI"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443590""}","2023-12-05",2443590,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUIGI THOMAZETTO LOBOS JIMENEZ"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443591""}","2023-12-05",2443591,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUCAS MACHADO DA SILVA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443592""}","2023-12-05",2443592,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE LUCAS DE OLIVEIRA CORREA"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443593""}","2023-12-05",2443593,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDRE FILIPY SILVA SALAO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443594""}","2023-12-05",2443594,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDREIA VIRGINIA MARQUES DOS SANTOS"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443595""}","2023-12-05",2443595,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""ANDREA LOPES DE VASCONCELOS AQUINO"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443596""}","2023-12-05",2443596,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""AMANDA DOS SANTOS GUEDES"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443597""}","2023-12-05",2443597,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""AMANDA LETICIA DOS SANTOS"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443598""}","2023-12-05",2443598,93726,"10A100423"
GFL Logística,RECURSOS HUMANOS,Dossiê de Funcionários,"{""Nome"":""AMAURI GIRALDI GOMES"",""Descri\u00e7\u00e3o"":""LETRA A"",""Caixa Cliente"":""CAIXA 003"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""05\/12\/2023"",""Etiqueta"":""2443599""}","2023-12-05",2443599,93726,"10A100423"
