"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ SB \/ FINTECH \/ PREPAID \/ VOUCHER \/ VPSA \/ MISSAO \/ PAYPAXX E SERVICES"",""Per\u00edodo"":""01 A 15 DE JUNHO"",""Ano"":""2020"",""Caixa Cliente"":""168"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""15\/06\/2020"",""Etiqueta"":""2403167""}","2020-06-15",2403167,89998,"10A030203"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ SB \/ FINTECH \/ PREPAID \/ VOUCHER \/ VPSA \/ MISSAO \/ PAYPAXX E SERVICES"",""Per\u00edodo"":""01 A 15 DE ABRIL"",""Ano"":""2020"",""Caixa Cliente"":""164"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""15\/04\/2020"",""Etiqueta"":""2403168""}","2020-04-15",2403168,89999,"10A030204"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ RISK \/ SB \/ FINTECH \/ PREPAID \/ VOUCHER \/ VPSA \/ MISSAO \/ PAYPAXX E SERVICES"",""Per\u00edodo"":""01 A 15 DE AGOSTO"",""Ano"":""2019"",""Caixa Cliente"":""150 B"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""15\/08\/2019"",""Etiqueta"":""2403101""}","2019-08-15",2403101,89949,"10A030205"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ RISK \/ FINTECH \/ PREPAID \/ VOUCHER"",""Per\u00edodo"":""03 DE SETEMBRO A 14 DE OUTUBRO "",""Ano"":""2018"",""Caixa Cliente"":""130"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""14\/10\/2018"",""Etiqueta"":""2403162""}","2018-10-14",2403162,89994,"10A030206"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ RISK \/ FINTECH \/ PREPAID \/ VOUCHER"",""Per\u00edodo"":""15 A 31 DE OUTUBRO"",""Ano"":""2018"",""Caixa Cliente"":""131 B"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""31\/10\/2018"",""Etiqueta"":""2403163""}","2018-10-31",2403163,89994,"10A030206"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""HUB PAGAMENTOS \/ RISK \/ FINTECH \/ PREPAID \/ VOUCHER"",""Per\u00edodo"":""15 A 31 DE OUTUBRO"",""Ano"":""2018"",""Caixa Cliente"":""131 B"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""31\/10\/2018"",""Etiqueta"":""2403161""}","2018-10-31",2403161,89993,"10A030207"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""VPSA \/ SB \/ MISSAO \/ PAYPAXX \/ HUB SERVICES"",""Per\u00edodo"":""01 DE ABRIL A 30 DE MAIO "",""Ano"":""2018"",""Caixa Cliente"":""123"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""30\/05\/2018"",""Etiqueta"":""2403160""}","2018-05-30",2403160,89992,"10A030208"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""VPSA \/ SB \/ MISSAO \/ PAYPAXX \/ HUB SERVICES"",""Per\u00edodo"":""01 DE JUNHO A 31 DE JULHO"",""Ano"":""2018"",""Caixa Cliente"":""125 A"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""31\/07\/2018"",""Etiqueta"":""2403159""}","2018-07-31",2403159,89991,"10A030209"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""VPSA \/ SB \/ MISSAO \/ PAYPAXX \/ HUB SERVICES"",""Per\u00edodo"":""01 DE ABRIL A 30 DE MAIO "",""Ano"":""2018"",""Caixa Cliente"":""123"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""30\/05\/2018"",""Etiqueta"":""2403157""}","2018-05-30",2403157,89990,"10A030210"
Hub Sales,FINANCEIRO,Documentos Financeiros - Tesouraria,"{""Tipo de Documento"":""MOVIMENTO BANCARIO"",""Assunto"":""VPSA \/ SB \/ MISSAO \/ PAYPAXX \/ HUB SERVICES"",""Per\u00edodo"":""01 DE JUNHO A 31 DE JULHO"",""Ano"":""2018"",""Caixa Cliente"":""125 A"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""31\/07\/2018"",""Etiqueta"":""2403158""}","2018-07-31",2403158,89990,"10A030210"
