"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""PASTAS SUSPENSAS SEM USO - KRAFT"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""50 PASTAS SUSPENSAS"",""Caixa Cliente"":""05"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428520""}","2023-05-25",2428520,91079,"10A020801"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""PASTAS SUSPENSAS SEM USO - KRAFT"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""50 PASTAS SUSPENSAS"",""Caixa Cliente"":""05"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428521""}","2023-05-25",2428521,91080,"10A020802"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""MANUAIS"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""DIVERSOS"",""Caixa Cliente"":""06"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428522""}","2023-05-25",2428522,91080,"10A020802"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""MANUAIS"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""DIVERSOS"",""Caixa Cliente"":""06"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428523""}","2023-05-25",2428523,91081,"10A020803"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""3 CARIMBOS CNPJ"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""1-AMAZING PIXEL \/2- PAZOS OTTONI \/1 CARIMBEIRA"",""Caixa Cliente"":""06"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428524""}","2023-05-25",2428524,91081,"10A020803"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO SOCIAL - SEGUNDA ALTERACAO - 3 DOCUMENTOS ORIGINAIS"",""Data Inicial"":""26\/04\/2017"",""Data Final"":null,""Observa\u00e7\u00e3o"":""AMAZING PIXEL PRODUCOES LTDA ME"",""Caixa Cliente"":""02"",""Data do Documento"":""26\/04\/2017"",""Etiqueta"":""2428525""}","2017-04-26",2428525,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE CESSAO DE QUOTAS E OUTRAS AVENCAS"",""Data Inicial"":""01\/03\/2017"",""Data Final"":null,""Observa\u00e7\u00e3o"":""AMAZING PIXEL PRODUCOES LTDA ME"",""Caixa Cliente"":""02"",""Data do Documento"":""01\/03\/2017"",""Etiqueta"":""2428526""}","2017-03-01",2428526,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE PUBLICIDADE"",""Data Inicial"":""18\/04\/2018"",""Data Final"":null,""Observa\u00e7\u00e3o"":""AGENCIA CLICK MIDIA INTERATIVA SA"",""Caixa Cliente"":""02"",""Data do Documento"":""18\/04\/2018"",""Etiqueta"":""2428527""}","2018-04-18",2428527,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE AGENCIAMENTO E REPRESENTACAO"",""Data Inicial"":""02\/01\/2020"",""Data Final"":null,""Observa\u00e7\u00e3o"":""ALEXANDRE DE OTTONI DE MENEZES - JOVEM NERD"",""Caixa Cliente"":""02"",""Data do Documento"":""02\/01\/2020"",""Etiqueta"":""2428528""}","2020-01-02",2428528,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE PALESTRA N 0078\/2019"",""Data Inicial"":""14\/02\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""BAYER SA \/ ATILA IAMARINO"",""Caixa Cliente"":""02"",""Data do Documento"":""14\/02\/2019"",""Etiqueta"":""2428529""}","2019-02-14",2428529,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""DECLARACAO DE CONHECIMENTO E ACEITE AOS TERMOS E CONDICOES GERAIS PARA PRESTACAO DE SERVICOS"",""Data Inicial"":""29\/04\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""CARREFOUR"",""Caixa Cliente"":""02"",""Data do Documento"":""29\/04\/2019"",""Etiqueta"":""2428530""}","2019-04-29",2428530,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO N 20190322"",""Data Inicial"":""15\/04\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""CENTRAL DE PRODUCOES GWUP SA"",""Caixa Cliente"":""02"",""Data do Documento"":""15\/04\/2019"",""Etiqueta"":""2428531""}","2019-04-15",2428531,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO N 20190409"",""Data Inicial"":""15\/04\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""CENTRAL DE PRODUCOES GWUP SA"",""Caixa Cliente"":""02"",""Data do Documento"":""15\/04\/2019"",""Etiqueta"":""2428532""}","2019-04-15",2428532,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO N 20180328"",""Data Inicial"":""28\/03\/2018"",""Data Final"":null,""Observa\u00e7\u00e3o"":""CENTRAL DE PRODUCOES GWUP SA"",""Caixa Cliente"":""02"",""Data do Documento"":""28\/03\/2018"",""Etiqueta"":""2428533""}","2018-03-28",2428533,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE CONSULTORIA E FOMENTO DE NEGOCIOS EM MARKETING PROPAGANDA E PUBLICIDADE"",""Data Inicial"":""01\/11\/2018"",""Data Final"":null,""Observa\u00e7\u00e3o"":""D DE L A COSTA SERVICOS DE MARKETING ME"",""Caixa Cliente"":""02"",""Data do Documento"":""01\/11\/2018"",""Etiqueta"":""2428534""}","2018-11-01",2428534,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE AGENCIAMENTO E REPRESENTACAO"",""Data Inicial"":""02\/01\/2020"",""Data Final"":null,""Observa\u00e7\u00e3o"":""DEIVE PAZOS GERPE - AZAGHAL"",""Caixa Cliente"":""02"",""Data do Documento"":""02\/01\/2020"",""Etiqueta"":""2428535""}","2020-01-02",2428535,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE VEICULACAO DE PUBLICIDADE"",""Data Inicial"":""05\/04\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""EDITORA PLANETA DEAGOSTINI DO BRASIL LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""05\/04\/2019"",""Etiqueta"":""2428536""}","2019-04-05",2428536,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS"",""Data Inicial"":""10\/06\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""GR DE OLIVEIRA CONSULTORIA E GESTAO EMPRESARIAL ME"",""Caixa Cliente"":""02"",""Data do Documento"":""10\/06\/2019"",""Etiqueta"":""2428537""}","2019-06-10",2428537,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS - ORIGINAL E COPIA"",""Data Inicial"":""14\/12\/2018"",""Data Final"":null,""Observa\u00e7\u00e3o"":""IDEC - INSTITUTO BRASILEIRO DE DEFESA DO CONSUMIDOR"",""Caixa Cliente"":""02"",""Data do Documento"":""17\/12\/2018"",""Etiqueta"":""2428538""}","2018-12-17",2428538,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE REPRESENTACAO COMERCIAL"",""Data Inicial"":""07\/03\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""JULIANA LORENZI LIMA LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""07\/03\/2019"",""Etiqueta"":""2428539""}","2019-03-07",2428539,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONDICOES GERAIS DE FORNECIMENTO AO MAGAZINE LUIZA"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""MAGAZINE LUIZA"",""Caixa Cliente"":""02"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428540""}","2023-05-25",2428540,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO N 20151216"",""Data Inicial"":""16\/12\/2015"",""Data Final"":null,""Observa\u00e7\u00e3o"":""MEU SUCESSO EMPREENDEDORISMO SA"",""Caixa Cliente"":""02"",""Data do Documento"":""16\/12\/2015"",""Etiqueta"":""2428541""}","2015-12-16",2428541,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE PUBLICIDADE NERDTRADER"",""Data Inicial"":""01\/07\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""NOVA FUTURA CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""01\/07\/2019"",""Etiqueta"":""2428542""}","2019-07-01",2428542,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS E TERMO DE CONFIDENCIALIDADE"",""Data Inicial"":""01\/10\/2018"",""Data Final"":null,""Observa\u00e7\u00e3o"":""SARAH LINS LIRA EIRELI"",""Caixa Cliente"":""02"",""Data do Documento"":""01\/10\/2018"",""Etiqueta"":""2428543""}","2018-10-01",2428543,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS - PALESTRANTE"",""Data Inicial"":""17\/10\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC"",""Caixa Cliente"":""02"",""Data do Documento"":""17\/10\/2019"",""Etiqueta"":""2428544""}","2019-10-17",2428544,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS"",""Data Inicial"":""17\/09\/2019"",""Data Final"":null,""Observa\u00e7\u00e3o"":""SERVICO SOCIAL DO COMERCIO - SESC PARANA"",""Caixa Cliente"":""02"",""Data do Documento"":""17\/09\/2019"",""Etiqueta"":""2428545""}","2019-09-17",2428545,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO DE PRESTACAO DE SERVICOS DE PUBLICIDADE"",""Data Inicial"":""01\/07\/2020"",""Data Final"":"""",""Observa\u00e7\u00e3o"":""NOVA FUTURA CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""01\/07\/2020"",""Etiqueta"":""2428546""}","2020-07-01",2428546,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO SOCIAL \/ PRIMEIRA - SEGUNDA - TERCEIRA E QUARTA ALTERACOES DO CONTRATO SOCIAL \/ LICENCA DE FUNCIONAMENTO \/ PROCURACOES \/ CERTIDAO JUCESP \/ DECLARACAO DE FATURAMENTO 2008 A 2009"",""Data Inicial"":null,""Data Final"":null,""Observa\u00e7\u00e3o"":""PAZOS E OTTONI LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""25\/05\/2023"",""Etiqueta"":""2428547""}","2023-05-25",2428547,91082,"10A020804"
Jovem Nerd - Pazos e Ottoni Ltda,ADMINISTRAÇÃO,Documentos Administrativos Diversos,"{""Tipo de Documento"":""CONTRATO SOCIAL - 4 VIAS"",""Data Inicial"":""20\/07\/2017"",""Data Final"":null,""Observa\u00e7\u00e3o"":""NERDBOOKS EDITORA LTDA"",""Caixa Cliente"":""02"",""Data do Documento"":""20\/07\/2017"",""Etiqueta"":""2428548""}","2017-07-20",2428548,91082,"10A020804"
