"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""08 A 16 DE OUTUBRO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.38"",""Observa\u00e7\u00e3o"":null,""Data do Documento"":""16\/10\/2014"",""Etiqueta"":""2459273""}","2014-10-16",2459273,94600,"10A061103"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""30 A 31 DE DEZEMBRO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.48"",""Observa\u00e7\u00e3o"":""1412"",""Data do Documento"":""31\/12\/2014"",""Etiqueta"":""2459272""}","2014-12-31",2459272,94599,"10A061104"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""01 A 10 DE MARCO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.09"",""Observa\u00e7\u00e3o"":""1403"",""Data do Documento"":""10\/03\/2014"",""Etiqueta"":""2459271""}","2014-03-10",2459271,94598,"10A061105"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""19 A 25 DE MARCO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.11"",""Observa\u00e7\u00e3o"":""1403"",""Data do Documento"":""25\/03\/2014"",""Etiqueta"":""2459270""}","2014-03-25",2459270,94597,"10A061106"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""01 A 04 DE SETEMBRO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.32"",""Observa\u00e7\u00e3o"":""1409"",""Data do Documento"":""04\/09\/2014"",""Etiqueta"":""2459269""}","2014-09-04",2459269,94596,"10A061107"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""PROJETO DIFAL"",""C.D."":""05.570.714\/0008-25 \/ 05.570.714\/0001-59"",""Per\u00edodo"":null,""Ano"":""2017"",""Setor"":""FISCAL"",""Caixa Cliente"":""2017.01"",""Observa\u00e7\u00e3o"":""1.95"",""Data do Documento"":""31\/12\/2017"",""Etiqueta"":""2459268""}","2017-12-31",2459268,94595,"10A061108"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""19 A 25 DE SETEMBRO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.35"",""Observa\u00e7\u00e3o"":""1409"",""Data do Documento"":""25\/09\/2014"",""Etiqueta"":""2459267""}","2014-09-25",2459267,94594,"10A061109"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":null,""Per\u00edodo"":""08 A 15 DE ABRIL"",""Ano"":""2013"",""Setor"":""FISCAL"",""Caixa Cliente"":""2013.12"",""Observa\u00e7\u00e3o"":""1304"",""Data do Documento"":""15\/04\/2013"",""Etiqueta"":""2459266""}","2013-04-15",2459266,94593,"10A061110"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE RMA"",""C.D."":null,""Per\u00edodo"":""AGOSTO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":null,""Observa\u00e7\u00e3o"":""1408 \/ 1.32"",""Data do Documento"":""31\/08\/2014"",""Etiqueta"":""2459265""}","2014-08-31",2459265,94592,"10A061111"
KABUM COMERCIO ELETRONICO S.A.,FISCAL,Documentos Fiscais,"{""Assunto"":""NOTAS FISCAIS DE ENTRADA"",""C.D."":""SAO PAULO"",""Per\u00edodo"":""11 A 18 DE NOVEMBRO"",""Ano"":""2014"",""Setor"":""FISCAL"",""Caixa Cliente"":""2014.42"",""Observa\u00e7\u00e3o"":""1411"",""Data do Documento"":""18\/11\/2014"",""Etiqueta"":""2459264""}","2014-11-18",2459264,94591,"10A061112"
