"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 51"",""Container \/ Box"":""480719\/2"",""Data do Documento"":""31\/10\/2009"",""Etiqueta"":""2286032""}","2009-10-31",2286032,84138,"10A070820"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""MAIO -  JULHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 51"",""Container \/ Box"":""529154"",""Data do Documento"":""31\/07\/2015"",""Etiqueta"":""2286031""}","2015-07-31",2286031,84137,"10A070821"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JULHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE BANCO \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 50"",""Container \/ Box"":""529150"",""Data do Documento"":""31\/07\/2015"",""Etiqueta"":""2286030""}","2015-07-31",2286030,84136,"10A070822"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2012"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 50"",""Container \/ Box"":""480719\/1"",""Data do Documento"":""31\/10\/2012"",""Etiqueta"":""2286029""}","2012-10-31",2286029,84135,"10A070823"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2010"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 49"",""Container \/ Box"":""480718\/3"",""Data do Documento"":""31\/12\/2010"",""Etiqueta"":""2286028""}","2010-12-31",2286028,84134,"10A070824"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JULHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""EXTRATOS BANCARIOS \/ MOVIMENTOS DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 49"",""Container \/ Box"":""529149"",""Data do Documento"":""31\/07\/2015"",""Etiqueta"":""2286027""}","2015-07-31",2286027,84133,"10A070901"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""EXTRATOS BANCARIOS \/ MOVIMENTOS DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 48"",""Container \/ Box"":""480718\/2"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286026""}","2021-07-22",2286026,84132,"10A070902"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - JUNHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 48"",""Container \/ Box"":""529145"",""Data do Documento"":""30\/06\/2015"",""Etiqueta"":""2286025""}","2015-06-30",2286025,84131,"10A070903"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - JUNHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIAS DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTOS DE BANCO \/ MOVIMENTOS DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 47"",""Container \/ Box"":""529143"",""Data do Documento"":""30\/06\/2015"",""Etiqueta"":""2286024""}","2015-06-30",2286024,84130,"10A070904"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - DEZEMBRO"",""Ano"":""2009"",""Descri\u00e7\u00e3o"":""EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 47"",""Container \/ Box"":""480718\/1"",""Data do Documento"":""31\/12\/2009"",""Etiqueta"":""2286023""}","2009-12-31",2286023,84129,"10A070905"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ MOVIMENTO DE BANCO \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 46"",""Container \/ Box"":""480717\/3"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286022""}","2021-07-22",2286022,84128,"10A070906"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - DEZEMBRO"",""Ano"":""2011 - 2016"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE CAIXA \/ MOVIMENTO DE BANCO \/ NOTAS FISCAIS DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 46"",""Container \/ Box"":""529142"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2286021""}","2016-12-31",2286021,84127,"10A070907"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""MAIO - JUNHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTAS FISCAIS DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 45"",""Container \/ Box"":""529137"",""Data do Documento"":""30\/06\/2015"",""Etiqueta"":""2286020""}","2015-06-30",2286020,84126,"10A070908"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2010"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE BANCO"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 45"",""Container \/ Box"":""480717\/2"",""Data do Documento"":""31\/12\/2010"",""Etiqueta"":""2286019""}","2010-12-31",2286019,84125,"10A070909"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""ABRIL"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE CAIXA\/ MOVIMENTO BANCARIO \/ COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 44"",""Container \/ Box"":""529131"",""Data do Documento"":""30\/04\/2015"",""Etiqueta"":""2286018""}","2015-04-30",2286018,84124,"10A070910"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""MOVIMENTO DE BANCO"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 44"",""Container \/ Box"":""480717\/1"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286017""}","2021-07-22",2286017,84123,"10A070911"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""COPIAS DE CHEQUES \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/  NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 43"",""Container \/ Box"":""529128"",""Data do Documento"":""22\/07\/2021"",""Etiqueta"":""2286016""}","2021-07-22",2286016,84122,"10A070912"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 43"",""Container \/ Box"":""479941\/3"",""Data do Documento"":""31\/12\/2011"",""Etiqueta"":""2286014""}","2011-12-31",2286014,84121,"10A070913"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""SETEMBRO"",""Ano"":""2015'"",""Descri\u00e7\u00e3o"":""COPIAS DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 43"",""Container \/ Box"":""529128"",""Data do Documento"":""30\/09\/2015"",""Etiqueta"":""2286015""}","2015-09-30",2286015,84121,"10A070913"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIAS DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 42"",""Container \/ Box"":""529123"",""Data do Documento"":""31\/12\/2015"",""Etiqueta"":""2286013""}","2015-12-31",2286013,84120,"10A070914"
