"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""184"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA ABRIL 2021"",""Assunto"":""CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - EQUIPAMENTOS, DESPESAS GERAIS, COLABORADORES FIXOS, IMPOSTOS, EXTRATOS (BOLETOS, NOTAS FISCAIS, COMISS\u00d5ES, GUIA DE RECOLHIMENTOS DE IMPOSTOS, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""15\/04\/2021"",""Etiqueta"":""2607805""}","2021-04-15",2607805,100774,"10A261018"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""185"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA MAIO 2021"",""Assunto"":""CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - EQUIPAMENTOS, COLABORADORES FIXOS, DESPESAS FIXAS, DESPESAS GERAIS, PJ, IMPOSTOS (BOLETOS, NOTAS FISCAIS, FATURAS, COMISS\u00d5ES, GUIAS DE RECOLHIMENTO DE IMPOSTOS, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""15\/05\/2021"",""Etiqueta"":""2607806""}","2021-05-15",2607806,100774,"10A261018"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""186"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA SETEMBRO 2021"",""Assunto"":""CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 01 A 03 E 13, EXTRATOS E COMPROVANTES ANTERIORES (FATURAS, NOTAS FISCAIS, BOLETOS, EXTRATOS, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""15\/09\/2021"",""Etiqueta"":""2607807""}","2021-09-15",2607807,100774,"10A261018"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""182"",""Setor"":""CONTABILIDADE"",""Periodo"":""NOVEMBRO 2021"",""Assunto"":""UNILOGIC"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 19, 22 A 26, 29 E 30, EXTRATOS, COMPROVANTES ANTERIORES E COMPROVANTES ANTERIORES CANAL GEEK (FATURAS, NOTAS FISCAIS, BOLETOS, RESCIS\u00d5ES, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""30\/11\/2021"",""Etiqueta"":""2607803""}","2021-11-30",2607803,100773,"10A261019"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""183"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA ABRIL 2021"",""Assunto"":""CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - EQUIPAMENTOS, DESPESAS GERAIS, DESPESAS FIXAS, TERCEIROS, PJ, COLABORADORES FIXOS, IMPOSTOS, EXTRATOS (BOLETOS, NOTAS FISCAIS, FATURAS, GUIAS DE RECOLHIMENTO DE IMPOSTOS, EXTRATOS, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""15\/04\/2021"",""Etiqueta"":""2607804""}","2021-04-15",2607804,100773,"10A261019"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""179"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA OUTUBRO 2021"",""Assunto"":""UNILOGIC"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 01, 04 A 08, 11, 13 A 15, 18 E COMPROVANTES ANTERIORES (FATURAS, NOTAS FISCAIS, BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, GUIAS DE RECOLHIMENTO DE IMPOSTOS, HOLERITES, REEMBOLSOS)"",""Data do Documento"":""15\/10\/2021"",""Etiqueta"":""2607800""}","2021-10-15",2607800,100772,"10A261020"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""180"",""Setor"":""CONTABILIDADE"",""Periodo"":""2 QUINZENA OUTUBRO 2021"",""Assunto"":""UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 18 A 20, 22, 25 A 29, COMPROVANTES ANTERIORES, EXTRATOS E CANAL GEEK (NOTAS FISCAIS, BOLETOS, FATURAS, COMPROVANTES E RECIBOS DE PAGAMENTOS, EXTRATOS \/ CANAL GEEK - SOMENTE EXTRATO, FATURAS ELETROPAULO E VIVO COM COMPROVANTES DE PAGAMENTOS)"",""Data do Documento"":""31\/10\/2021"",""Etiqueta"":""2607801""}","2021-10-31",2607801,100772,"10A261020"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""181"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA NOVEMBRO 2021"",""Assunto"":""UNILOGIC"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 03 A 05, 08 A 12, 16 A 18, EXTRATOS E COMPROVANTES ANTERIORES (FATURAS, NOTAS FISCAIS, BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, GUIAS DE RECOLHIMENTO DE IMPOSTOS, HOLERITES, REEMBOLSOS, EXTRATOS)"",""Data do Documento"":""15\/11\/2021"",""Etiqueta"":""2607802""}","2021-11-15",2607802,100772,"10A261020"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""176"",""Setor"":""CONTABILIDADE"",""Periodo"":""2 QUINZENA DE AGOSTO 2021"",""Assunto"":"" UNILOGIC"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 16 A 19, 23, 25, 27, 30 E 31, COMPROVANTES ANTERIORES (NOTAS FISCAIS, BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, F\u00c9RIAS, FATURAS, EXTRATO)"",""Data do Documento"":""30\/08\/2021"",""Etiqueta"":""2607797""}","2021-08-30",2607797,100771,"10A261021"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""177"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA DE SETEMBRO 2021"",""Assunto"":"" UNILOGIC"",""Observa\u00e7\u00e3o"":""ABAS NUMERADAS POR DIA 01 A 03, 06, 08 A 10, 13 A 15, 17 E COMPROVANTES ANTERIORES (BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, FATURAS, IPTU, HOLERITES, NOTAS FISCAIS, GUIAS DE RECOLHIMENTO DE IMPOSTOS)"",""Data do Documento"":""15\/09\/2021"",""Etiqueta"":""2607798""}","2021-09-15",2607798,100771,"10A261021"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""178"",""Setor"":""CONTABILIDADE"",""Periodo"":""2 QUINZENA DE SETEMBRO 2021"",""Assunto"":"" UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - UNILOGIC - NUMERADAS POR DIA 17, 20 A 22, 28 A 30 E COMPROVANTES ANTERIORES \/ CANAL GEEK - COMPROVANTES ANTERIORES (EXTRATOS, BOLETOS, NOTAS FISCAIS, FATURAS, COMPROVANTES E RECIBOS DE PAGAMENTOS)"",""Data do Documento"":""30\/09\/2021"",""Etiqueta"":""2607799""}","2021-09-30",2607799,100771,"10A261021"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""174"",""Setor"":""CONTABILIDADE"",""Periodo"":""2 QUINZENA JULHO 2021"",""Assunto"":""UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - UNILOGIC - NUMERADAS POR DIA 16, 19 A 23, 28 A 30 E COMPROVANTES ANTERIORES \/ CANAL GEEK - NUMERADAS POR DIA 21 A 30, COMPROVANTES ANTERIORES E EXTRATOS (BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, DEMONSTRATIVOS, FATURAS, NOTAS FISCAIS, RESCIS\u00d5ES, NOTAS DE D\u00c9BITO, EXTRATOS)"",""Data do Documento"":""31\/07\/2021"",""Etiqueta"":""2607795""}","2021-07-31",2607795,100770,"10A261022"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""175"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA AGOSTO 2021"",""Assunto"":""UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - UNILOGIC - NUMERADAS POR DIA 02 A 06, 09 E 10, 12 E 13, 16 E 17, EXTRATOS E COMPROVANTES ANTERIORES \/ CANAL GEEK - EXTRATOS E COMPROVANTES ANTERIORES (BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, NOTAS FISCAIS, F\u00c9RIAS, NOTAS FISCAIS, HOLERITES, GUIAS DE RECOLHIMENTO DE IMPOSTOS, FATURAS, EXTRATOS)"",""Data do Documento"":""15\/08\/2021"",""Etiqueta"":""2607796""}","2021-08-15",2607796,100770,"10A261022"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""172"",""Setor"":""CONTABILIDADE"",""Periodo"":""2 QUINZENA JUNHO 2021"",""Assunto"":""UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - UNILOGIC - NUMERADAS POR DIA 21 A 25 E 28 \/ CANAL GEEK - NUMERADAS POR DIA 24 E 25, 28 E 29 E COMPROVANTES ANTERIORES (BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, FATURAS, RPA, NOTAS FISCAIS, RELAT\u00d3RIOS DE AUTORIZA\u00c7\u00d5ES DE TRANSA\u00c7\u00d5ES BANC\u00c1RIAS, REEMBOLSOS)"",""Data do Documento"":""30\/06\/2021"",""Etiqueta"":""2607793""}","2021-06-30",2607793,100769,"10A261023"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""173"",""Setor"":""CONTABILIDADE"",""Periodo"":""1 QUINZENA JULHO 2021"",""Assunto"":""UNILOGIC \/ CANAL GEEK"",""Observa\u00e7\u00e3o"":""ABAS - UNILOGIC - NUMERADAS POR DIA 01 E 02, 05 A 08, 12 A 16, EXTRATOS E COMPROVANTES ANTERIORES \/ CANAL GEEK - NUMERADAS POR DIA 02 A 06, 07 A 12, 13 A 16, COMPROVANTES ANTERIORES E EXTRATOS (BOLETOS, COMPROVANTES E RECIBOS DE PAGAMENTOS, FATURAS, GUIAS DE RECOLHIMENTO DE IMPOSTOS, HOLERITES, NOTAS FISCAIS, EXTRATOS)"",""Data do Documento"":""15\/07\/2021"",""Etiqueta"":""2607794""}","2021-07-15",2607794,100769,"10A261023"
